Name,Longitude,Latitude
Prairie Flower - Saylorville Lake,-93.688,41.749
Prairie Ridge - Rathbun Lake,-92.888,40.858
Prairie Rose State Park,-95.212,41.6
Primghar City Park,-95.623,43.084
Pulpit Rock City Campground,-91.809,43.299
Quercus Wilderness Area,-92.668,41.198
Rainbow Bend Co Park,-94.756,42.228
Ranney Knob Area,-95.731,42.575
Red Haw State Park,-93.28,40.998
Reece Park,-93.19,42.254
Reiff Park,-95.149,42.438
Richey Campground,-94.628,42.087
River Junction Access,-91.502,41.491
Rivers Bend,-96.311,43.213
Riverside Co Park,-92.777,43.436
Riverside Park - Coon Rapids,-94.669,41.877
Riverside Park - Webster City,-93.813,42.468
Riverview City Park - Clinton,-90.185,41.852
Riverview Park - Marshalltown,-92.902,42.064
Roadman Roadside Park,-92.664,42.47
Roberts Creek Park,-93.042,41.426
Robertson Access,-92.645,41.507
Robinson Park,-95.736,43.399
Rock Creek County Marina and Campground,-90.328,41.75
Rock Creek State Park,-92.837,41.761
Rockwell City RV Park,-94.634,42.4
Rodgers County Park,-92.083,42.196
Rolling Cove - Rathbun Lake,-92.981,40.849
Rosman Glendale Farm Rec Area,-95.327,41.732
Ross County Park,-94.964,40.609
Round Prairie Park,-91.81,40.914
Rudd Eastside Park,-92.894,43.127
Sac City Park,-94.985,42.419
Sands Timber Rec Area,-94.497,40.629
Sandy Beach - Coralville Lake,-91.597,41.814
Sandy Hollow Park,-96.118,43.064
Saude Rec Area,-92.161,43.195
Saulsbury Bridge,-91.17,41.499
Schaben County Park,-95.672,41.805
Scharnberg Co Park,-95.289,43.151
Schimerowski Rec Area,-95.411,41.775
Scott County Park,-90.527,41.714
Scout Park - Lamont,-91.633,42.599
Seymour Lake Co Park,-93.12,40.67
Shady Creek - Mississippi River,-90.878,41.446
Shell Rock Rec Area,-92.591,42.723
Shellrock River Co Preserve,-93.044,43.174
Sherman Co Park,-90.784,41.78
Shimek State Forest,-91.677,40.615
Siems County Park,-94.397,43.053
Siggelkov County Park,-92.143,42.638
Silver Lake City Park - East,-95.326,43.448
Silver Lake City Park - South,-95.35,43.441
Silver Lake Co Park,-93.42,43.485
Silver Lake County Park,-91.322,42.426
Silver Sioux Recreation Area,-95.591,42.649
Skunk River Access,-91.97,41.25
Slip Bluff County Park,-93.845,40.653
Smith Lake County Park,-94.243,43.122
Snively Access,-91.111,41.193
Snyder Bend County Park,-96.337,42.284
South - Three Mile Co Rec Area,-94.215,41.079
South Bear Co Park,-91.672,43.442
South Fork Access - Dumont Park,-92.987,42.744
South Park - Wesley,-93.994,43.083
South Sabula Lakes County Park,-90.17,42.063
Southwood Conservation Area,-95.954,42.22
Split Rock County Park,-92.239,42.909
Sportsman Park - Clarksville,-92.68,42.786
Sportsman Park - Dawson,-94.21,41.847
Spring Lake County Park,-94.291,42.068
Springbrook State Park,-94.467,41.774
Spruce Creek County Park,-90.436,42.304
Squaw Creek County Park,-91.556,42.02
Squirrel Hollow Co Park,-94.29,41.95
Stephens State Forest,-93.482,41.022
Stephenson Park,-91.437,40.828
Stieneke Area Park,-95.681,42.609
Stoehr Fishing Area,-92.885,42.394
Stone State Park,-96.47,42.557
Straight Park,-94.848,42.579
Stratford City Park,-93.931,42.271
Sugar Bottom - Coralville Lake,-91.559,41.776
Summit - West Lake County Park,-90.683,41.529
Sunnyside Park,-95.026,41.399
Sunnyside Park Campground,-95.025,41.398
Sunrise,-95.175,42.628
Sunset City Park - Albert,-94.953,42.786
Swan Lake State Park,-94.846,42.035
Swede Point Park,-93.855,41.885
Swiss Valley County Park,-90.739,42.431
T. F. Clark Co Park,-92.422,42.225
Tailwater - Coralville Lake,-91.528,41.72
Thayer Lake Rec Area,-94.072,41.021
Thomas Mitchell County Park,-93.378,41.643
Thorpe Park,-93.756,43.262
Three Elms County Park,-91.874,42.456
Three Mile Rec Area,-94.213,41.085
Thunder Woman Park,-92.536,42.631
Timmons Grove County Park,-93.001,42.088
Tjossem County Park,-95.616,43.07
Tower Rock - Steamboat Rock,-93.07,42.401
Troy Mills Wapsi Access,-91.716,42.318
Turtle Creek County Park,-91.385,42.403
